,0,1
question,50.0,50.0
base-personality_rplus_cv1,17.0,
base-personality_rplus_cv2,14.0,
airidas-personality_mixtral_cv1,50.0,
elias-personality_mixtral_cv1,50.0,
elias-personality_rplus_cv1,19.0,
base-personality_mixtral_cv3,50.0,
airidas-personality_rplus_cv1,29.0,
base-personality_mixtral_cv2,50.0,
base-video-game_mixtral_cv2,,50.0
base-video-game_rplus_cv2,,50.0
airidas-video-game_rplus_cv1,,45.0
base-video-game_mixtral_cv3,,50.0
base-video-game_rplus_cv1,,28.0
elias-video-game_rplus_cv1,,39.0
elias-video-game_mixtral_cv1,,50.0
airidas-video-game_mixtral_cv1,,50.0
